line 19:	N22 -{flag = __VERIFIER_nondet_int();}-> N23
line 20:	N24 -{[!(flag == 0)]}-> N25
line 20:	N25 -{[!(flag == 1)]}-> N27
none:	N27 -{__CPAchecker_TMP_0 = 0;}-> N28
line 20:	N28 -{[__CPAchecker_TMP_0 != 0]}-> N29
line 21:	N29 -{int i = 0;}-> N30
line 22:	N30 -{int x = 0;}-> N31
line 24:	N33 -{n = __VERIFIER_nondet_int();}-> N34
line 25:	N35 -{[!(n >= 1000)]}-> N38
none:	N38 -{__CPAchecker_TMP_1 = 0;}-> N39
line 25:	N39 -{[__CPAchecker_TMP_1 != 0]}-> N40
line 29:	N43 -{while}-> N44
line 29:	N44 -{[i < n]}-> N45
line 30:	N45 -{x = x;}-> N47
line 32:	N48 -{[!(flag == 0)]}-> N50
line 33:	N50 -{x = x + 3;}-> N52
line 37:	N49 -{i = i + 1;}-> N54
none:	N54 -{}-> N44
line 29:	N44 -{[i < n]}-> N45
line 30:	N45 -{x = x;}-> N47
line 32:	N48 -{[!(flag == 0)]}-> N50
line 33:	N50 -{x = x + 3;}-> N52
line 37:	N49 -{i = i + 1;}-> N54
none:	N54 -{}-> N44
line 29:	N44 -{[i < n]}-> N45
line 30:	N45 -{x = x;}-> N47
line 32:	N48 -{[!(flag == 0)]}-> N50
line 33:	N50 -{x = x + 3;}-> N52
line 37:	N49 -{i = i + 1;}-> N54
none:	N54 -{}-> N44
line 29:	N44 -{[i < n]}-> N45
line 30:	N45 -{x = x;}-> N47
line 32:	N48 -{[!(flag == 0)]}-> N50
line 33:	N50 -{x = x + 3;}-> N52
line 37:	N49 -{i = i + 1;}-> N54
none:	N54 -{}-> N44
line 29:	N44 -{[i < n]}-> N45
line 30:	N45 -{x = x;}-> N47
line 32:	N48 -{[!(flag == 0)]}-> N50
line 33:	N50 -{x = x + 3;}-> N52
line 37:	N49 -{i = i + 1;}-> N54
none:	N54 -{}-> N44
line 29:	N44 -{[i < n]}-> N45
line 30:	N45 -{x = x;}-> N47
line 32:	N48 -{[!(flag == 0)]}-> N50
line 33:	N50 -{x = x + 3;}-> N52
line 37:	N49 -{i = i + 1;}-> N54
none:	N54 -{}-> N44
line 29:	N44 -{[i < n]}-> N45
